,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
A.2_DikeIncrease 2,5.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,10.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
A.3_DikeIncrease 0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,7.0,1.0,0.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,7.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
A.3_DikeIncrease 1,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,6.0,0.0,7.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,7.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,7.0,2.0,1.0,7.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,3.0,7.0,1.0,7.0,7.0,1.0,7.0,4.0,7.0,7.0,1.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,6.0,1.0,1.0,6.0,0.0,1.0,2.0,1.0,1.0
A.3_DikeIncrease 2,0.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,6.0,0.0,7.0,1.0,5.0,1.0,0.0,5.0,1.0,1.0,1.0,6.0,0.0,1.0,6.0,6.0,1.0,6.0,1.0,0.0,6.0,10.0,5.0,0.0,1.0,6.0,5.0,2.0,5.0,2.0,6.0,5.0,3.0,1.0,7.0,1.0,6.0,6.0,5.0,4.0,1.0,0.0,6.0,7.0,5.0,5.0,8.0,7.0,3.0,2.0,6.0,5.0,7.0,6.0,6.0,7.0,0.0,1.0,2.0,1.0,0.0,6.0,1.0,6.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0
A.4_DikeIncrease 0,4.0,5.0,8.0,7.0,6.0,10.0,7.0,7.0,6.0,9.0,10.0,8.0,6.0,8.0,5.0,7.0,8.0,3.0,9.0,5.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,7.0,8.0,4.0,7.0,6.0,7.0,8.0,7.0,9.0,6.0,7.0,8.0,9.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,6.0,8.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,8.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,8.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,4.0,9.0,4.0,8.0,6.0,9.0,6.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,6.0,8.0,7.0
A.4_DikeIncrease 1,0.0,6.0,10.0,5.0,5.0,2.0,2.0,5.0,5.0,10.0,5.0,10.0,5.0,5.0,4.0,10.0,4.0,2.0,4.0,2.0,10.0,5.0,2.0,10.0,3.0,10.0,2.0,10.0,10.0,0.0,10.0,2.0,5.0,3.0,10.0,5.0,6.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,3.0,10.0,10.0,6.0,10.0,10.0,4.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,2.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,7.0,4.0,10.0,3.0,10.0,10.0,4.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0
A.4_DikeIncrease 2,10.0,0.0,6.0,7.0,6.0,6.0,0.0,6.0,2.0,2.0,7.0,6.0,7.0,4.0,7.0,6.0,4.0,7.0,4.0,10.0,7.0,7.0,7.0,7.0,3.0,7.0,8.0,6.0,4.0,10.0,7.0,7.0,7.0,7.0,7.0,3.0,6.0,6.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0,9.0,7.0,6.0,7.0,2.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,2.0,3.0,1.0,7.0,6.0,7.0,3.0,6.0,7.0,6.0,3.0,7.0,5.0,4.0,7.0,9.0,6.0,6.0,4.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0
A.5_DikeIncrease 0,9.0,0.0,10.0,10.0,10.0,9.0,10.0,1.0,10.0,10.0,10.0,10.0,6.0,6.0,1.0,10.0,9.0,9.0,1.0,9.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,1.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
A.5_DikeIncrease 1,3.0,5.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,5.0,10.0,9.0,10.0,7.0,2.0,10.0,9.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,0.0,10.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
A.5_DikeIncrease 2,2.0,2.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,4.0,6.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,6.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Expected Number of Deaths,3.701168118281793,1.4238813183948402,0.978832572156652,0.5591020689841482,2.387939314813207,2.3351450685861432,3.3704358674100305,1.388333871620375,3.071349923314176,3.004856673072032,0.3143540954767281,1.1561269943408237,3.4035743085428205,3.4123410564278944,0.4208697511049861,1.3040681783838393,3.341731382096716,1.3505338637301605,0.3595320996304761,3.9119005956963306,2.0407075871033755,0.7907328649921657,3.2022291982634608,0.46189373989344046,0.5273854067332441,0.02141369862311486,2.974274129101442,1.094164539327985,2.4238827433070096,3.7200218078146152,0.5730058637278257,3.3358454844710113,3.3105776945821948,0.2530164440022181,1.5989851544434333,3.4123410564278944,3.3822076626614397,1.584620916304623,1.1561269943408237,1.6294861940955345,1.0340312602734225,0.1940489507371933,3.1429791568331735,1.3009108070373476,0.2095693969844854,0.4559126506740525,3.2111876529658963,3.3504981299817898,0.023050350032323356,0.9099415024802868,0.243317303126752,0.0024344025490126734,1.203223363005436,1.8166695611308863,0.021864554638127087,1.9635477574291802,2.4544325650553507,0.0002735331847593027,3.136928107317038,1.5434048861166634,1.9913213178026703,1.5512296783043173,1.9504620432843132,1.0092800235608683,3.136928107317038,1.0481862916943316,0.06717217146614077,0.01024795250203037,1.9421597824791113,0.7808160920777272,0.010368381442972882,1.4777456259485713,0.108924114407428,0.04344704701773269,0.45943022088941277,0.0,2.1016537863209983,0.4559126506740525,0.010037201855380968,0.552345424445011,2.012676029731481,0.34983295875501,3.4123410564278944,2.8718701725877436,1.0801425185565012,0.5075319765077835,1.5666801519718674,3.4035743085428205,2.1799103021122157,1.0560110838819856,2.030387118630483,2.4238827433070096,0.1047846984922427,2.586503999300357,1.9289221749915157,0.16627813633849134,3.307696844322825,1.494678007373746
Dike Investment Costs,589937412.5442942,718751536.1834956,1245083279.115157,1203994444.7008116,1187248238.2961516,1139578705.0419838,1145451127.7507725,790098144.3825442,1138352116.594193,1181522304.483386,1140520470.978561,1234542949.4903934,1105637822.0478053,802556214.7879689,860772379.9526674,1241901409.9636002,969317906.9826612,1123531054.451949,899818291.5697716,547390948.5911531,1231914655.8216505,1202946574.9889977,1170617173.3572514,1263000598.3963327,781212100.5653133,1296735371.322958,1194283384.9118571,1257317863.972979,1225146866.8548152,589937412.5442942,1239006122.0425339,1183122212.7209377,1044034984.8188528,1169721337.9874911,1244867156.6959476,824349293.5444167,725847187.5349864,1241901409.9636002,1245391350.9316854,1226497902.6896987,1240859867.9329262,1211382782.51275,915452233.7721643,1248153458.2610831,1193637070.7297523,1257317863.972979,595983298.9900861,679645333.9059327,1260067295.4108915,1192746397.9134989,1170948211.0356297,1261481005.0906954,1241530595.2925117,1223276039.7169664,1273449082.840437,1234085988.964841,1188261592.9026265,1236667103.96411,1187213035.142558,1238821528.0754209,1216719009.9130743,1236040375.3101864,1236444628.317695,1187213035.142558,1166913747.5152373,1263685957.7662635,1269112149.8927844,1273449082.840437,1239006122.0425339,1233082639.889705,1292164377.5582917,1217130511.4535308,1235917892.8082051,1226930286.7305276,1263874893.7768712,1281315976.1169996,1220208950.8811598,1263685957.7662635,1283591431.2731893,717865819.2335738,1194643094.3850372,972436973.2940933,830208056.5228512,1183851448.7281263,1246844608.2554638,1207334577.268932,1198836739.469687,1090159815.0946097,1207172599.924565,1253153641.1666403,1233507527.9600563,1229916244.8885117,1205654155.497761,1205240220.0646627,1239530316.2782717,1229228897.1125765,1208730161.0327482,1231914655.8216505
RfR Investment Costs,1325100000.0,2100500000.0,2039100000.0,2100500000.0,2039100000.0,2069800000.0,1163300000.0,2100500000.0,2039100000.0,2039100000.0,2131200000.0,2039100000.0,822600000.0,907200000.0,2131200000.0,1833300000.0,1419400000.0,2100500000.0,2131200000.0,1203900000.0,1712100000.0,2069800000.0,1796700000.0,1948600000.0,2131200000.0,1571300000.0,1796700000.0,1284500000.0,1796700000.0,1069000000.0,2069800000.0,1419400000.0,1675500000.0,2131200000.0,1540600000.0,822600000.0,1163300000.0,1796700000.0,1954500000.0,1954500000.0,2039100000.0,2100500000.0,1917900000.0,1199900000.0,2131200000.0,2069800000.0,1796700000.0,1419400000.0,2039100000.0,2100500000.0,2131200000.0,2069800000.0,1954500000.0,1827400000.0,1661800000.0,1712100000.0,1954500000.0,2100500000.0,1833300000.0,1917900000.0,2039100000.0,1917900000.0,1712100000.0,2100500000.0,1917900000.0,1917900000.0,1796700000.0,2039100000.0,1456000000.0,2069800000.0,1833300000.0,2039100000.0,2100500000.0,2131200000.0,1948600000.0,2100500000.0,1917900000.0,1985200000.0,1948600000.0,2131200000.0,2069800000.0,2131200000.0,689400000.0,2039100000.0,1917900000.0,2100500000.0,2069800000.0,907200000.0,1869900000.0,1917900000.0,1661800000.0,1494300000.0,2131200000.0,1917900000.0,1796700000.0,2100500000.0,1675500000.0,1954500000.0
